Accuracy,Precision_At_Risk,Recall_At_Risk,F1_At_Risk,F1_Macro,F1_Weighted,ROC_AUC,Model,Train_Time_sec
0.7924,0.5217717717717718,0.6341240875912408,0.5724876441515651,0.7177018252453546,0.799254109347627,0.8107449452928682,Random Forest Tuned,
0.7991,0.5388205345778532,0.5793795620437956,0.558364475708947,0.7141702645194143,0.8016707955153727,0.8097423532012833,Random Forest,2.5277295112609863
0.7724,0.4853658536585366,0.635492700729927,0.5503753457131568,0.6990061224482238,0.7824771666626374,0.7941616706989649,Gaussian Naive Bayes,0.08054041862487793
0.7724,0.4853658536585366,0.635492700729927,0.5503753457131568,0.6990061224482238,0.7824771666626374,0.7941616706989649,Gaussian NB Tuned,
0.7596,0.46744471744471744,0.6943430656934306,0.5587371512481645,0.6967682457725155,0.774286508457391,0.8080579085085856,XGBoost,1.0437772274017334
0.7452,0.4486439699942297,0.7093978102189781,0.5496641922940969,0.686002086385509,0.7625694477072459,0.809449250067309,Linear SVM,0.23797130584716797
0.7441,0.4473155325868504,0.7107664233576643,0.5490748898678414,0.685218073206172,0.7616760849689784,0.809483897761607,Logistic Regression,0.1470813751220703
0.744,0.447187141216992,0.7107664233576643,0.5489781536293165,0.6851285629917038,0.7615906328896205,0.809483956189422,Logistic Regression Tuned,
0.7443,0.4473608306893568,0.7075729927007299,0.5481533839901043,0.6849267024545738,0.7617385981042198,0.8091597986717721,Logistic Regression + PCA,
0.8211,0.6714893617021277,0.35994525547445255,0.46866646866646866,0.6805546014949009,0.7995509768913484,0.8103195615857215,AdaBoost,7.182567834854126
0.8203,0.6680851063829787,0.3581204379562044,0.4662904662904663,0.6791261145256215,0.7986546145744847,0.8097238023700192,Gradient Boosting,15.214757442474365
0.8096,0.6141045958795562,0.35355839416058393,0.4487550665894615,0.6668409685660954,0.789318011116173,0.8016713101198845,Bagging,12.660900115966797
0.7123,0.41405269761606023,0.7527372262773723,0.5342399222923749,0.6630542735241083,0.7353964131758497,0.8073153201937746,Neural Network,
0.7996,0.569423929098966,0.3517335766423358,0.43485617597292725,0.6565310416755361,0.7810236462541212,0.7492689803925602,KNN,1.4203174114227295
0.7443,0.41475945819710414,0.4051094890510949,0.40987768289868454,0.6233341947396978,0.7432113717896108,0.6223165273124327,Decision Tree,0.6745278835296631
